Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2022-11-30,2022-12-01,0.026276111602783203
2022-12-01,2022-12-02,0.02576136589050293
2022-12-02,2022-12-05,0.02509331703186035
2022-12-05,2022-12-06,0.02551436424255371
2022-12-06,2022-12-07,0.025813579559326172
2022-12-07,2022-12-08,0.02508378028869629
2022-12-08,2022-12-09,0.02570199966430664
2022-12-09,2022-12-12,0.02523946762084961
2022-12-12,2022-12-13,0.026936054229736328
2022-12-13,2022-12-14,0.025341272354125977
2022-12-14,2022-12-15,0.025391340255737305
2022-12-15,2022-12-16,0.026362180709838867
2022-12-16,2022-12-19,0.025670289993286133
2022-12-19,2022-12-20,0.02389836311340332
2022-12-20,2022-12-21,0.024591922760009766
2022-12-21,2022-12-22,0.02529621124267578
2022-12-22,2022-12-23,0.024372100830078125
2022-12-23,2022-12-26,0.02576303482055664
2022-12-26,2022-12-27,0.02411508560180664
2022-12-27,2022-12-28,0.024208784103393555
2022-12-28,2022-12-29,0.024146318435668945
2022-12-29,2023-01-02,0.024049997329711914
2023-01-02,2023-01-03,0.024399280548095703
2023-01-03,2023-01-04,0.024085044860839844
2023-01-04,2023-01-05,0.024681568145751953
2023-01-05,2023-01-06,0.02477264404296875
2023-01-06,2023-01-09,0.025721311569213867
2023-01-09,2023-01-10,0.02431035041809082
2023-01-10,2023-01-11,0.02516937255859375
2023-01-11,2023-01-12,0.025435924530029297
2023-01-12,2023-01-13,0.025534868240356445
2023-01-13,2023-01-16,0.025384902954101562
2023-01-16,2023-01-17,0.025182008743286133
2023-01-17,2023-01-18,0.025142431259155273
2023-01-18,2023-01-19,0.025114059448242188
2023-01-19,2023-01-20,0.024661540985107422
2023-01-20,2023-01-23,0.0247495174407959
2023-01-23,2023-01-24,0.02550053596496582
2023-01-24,2023-01-25,0.02433633804321289
2023-01-25,2023-01-26,0.02509450912475586
2023-01-26,2023-01-27,0.025490522384643555
2023-01-27,2023-01-30,0.0253293514251709
2023-01-30,2023-01-31,0.02493000030517578
2023-01-31,2023-02-01,0.02571582794189453
2023-02-01,2023-02-02,0.02523946762084961
2023-02-02,2023-02-03,0.026207447052001953
2023-02-03,2023-02-06,0.024349689483642578
2023-02-06,2023-02-07,0.02501988410949707
2023-02-07,2023-02-08,0.025135040283203125
2023-02-08,2023-02-09,0.02497553825378418
2023-02-09,2023-02-10,0.024979114532470703
2023-02-10,2023-02-13,0.024764299392700195
2023-02-13,2023-02-14,0.024678945541381836
2023-02-14,2023-02-15,0.026346683502197266
2023-02-15,2023-02-16,0.02639627456665039
2023-02-16,2023-02-17,0.02556753158569336
2023-02-17,2023-02-22,0.02659749984741211
2023-02-22,2023-02-23,0.02649235725402832
2023-02-23,2023-02-24,0.025555849075317383
2023-02-24,2023-02-27,0.025938034057617188
2023-02-27,2023-02-28,0.026530981063842773
2023-02-28,2023-03-01,0.028122663497924805
2023-03-01,2023-03-02,0.025752782821655273
2023-03-02,2023-03-03,0.02585434913635254
2023-03-03,2023-03-06,0.02536487579345703
2023-03-06,2023-03-07,0.04038715362548828
2023-03-07,2023-03-08,0.026171445846557617
2023-03-08,2023-03-09,0.0440974235534668
2023-03-09,2023-03-10,0.025647878646850586
2023-03-10,2023-03-13,0.02453899383544922
2023-03-13,2023-03-14,0.025075435638427734
2023-03-14,2023-03-15,0.02542567253112793
2023-03-15,2023-03-16,0.02472400665283203
2023-03-16,2023-03-17,0.024848461151123047
2023-03-17,2023-03-20,0.024648666381835938
2023-03-20,2023-03-21,0.025576353073120117
2023-03-21,2023-03-22,0.024791717529296875
2023-03-22,2023-03-23,0.025333166122436523
2023-03-23,2023-03-24,0.025021791458129883
2023-03-24,2023-03-27,0.02372431755065918
2023-03-27,2023-03-28,0.024550437927246094
2023-03-28,2023-03-29,0.024682283401489258
2023-03-29,2023-03-30,0.02411508560180664
2023-03-30,2023-03-31,0.025788307189941406
2023-03-31,2023-04-03,0.02480769157409668
2023-04-03,2023-04-04,0.024547100067138672
2023-04-04,2023-04-05,0.024956703186035156
2023-04-05,2023-04-06,0.02478766441345215
2023-04-06,2023-04-10,0.026007413864135742
2023-04-10,2023-04-11,0.02644181251525879
2023-04-11,2023-04-12,0.025495290756225586
2023-04-12,2023-04-13,0.02557992935180664
2023-04-13,2023-04-14,0.026233911514282227
2023-04-14,2023-04-17,0.026273250579833984
2023-04-17,2023-04-18,0.026721477508544922
2023-04-18,2023-04-19,0.026143550872802734
2023-04-19,2023-04-20,0.029983043670654297
2023-04-20,2023-04-24,0.025395631790161133
2023-04-24,2023-04-25,0.02799057960510254
2023-04-25,2023-04-26,0.02561473846435547
2023-04-26,2023-04-27,0.02588653564453125
2023-04-27,2023-04-28,0.025393009185791016
2023-04-28,2023-05-02,0.02578902244567871
2023-05-02,2023-05-03,0.026253700256347656
2023-05-03,2023-05-04,0.0255582332611084
2023-05-04,2023-05-05,0.025637388229370117
2023-05-05,2023-05-08,0.02652883529663086
2023-05-08,2023-05-09,0.026516199111938477
2023-05-09,2023-05-10,0.026406049728393555
2023-05-10,2023-05-11,0.026764392852783203
2023-05-11,2023-05-12,0.02596306800842285
2023-05-12,2023-05-15,0.025848388671875
2023-05-15,2023-05-16,0.025603055953979492
2023-05-16,2023-05-17,0.028302907943725586
2023-05-17,2023-05-18,0.02637958526611328
2023-05-18,2023-05-19,0.02621912956237793
2023-05-19,2023-05-22,0.026010751724243164
2023-05-22,2023-05-23,0.028415441513061523
2023-05-23,2023-05-24,0.025170564651489258
2023-05-24,2023-05-25,0.025109052658081055
2023-05-25,2023-05-26,0.02548527717590332
2023-05-26,2023-05-29,0.025333642959594727
